iter	Passed	Remaining
407	5472	1234
408	5487	1220
409	5504	1208
410	5517	1194
411	5531	1181
412	5544	1167
413	5555	1154
414	5567	1140
415	5580	1126
416	5594	1113
417	5609	1100
418	5621	1086
419	5635	1073
420	5649	1060
421	5663	1046
422	5676	1033
423	5690	1020
424	5711	1007
425	5728	995
426	5745	982
427	5757	968
428	5769	954
429	5782	941
430	5793	927
431	5804	913
432	5816	900
433	5830	886
434	5843	873
435	5856	859
436	5868	846
437	5880	832
438	5893	818
439	5909	805
440	5924	792
441	5938	779
442	5954	766
443	5967	752
444	5982	739
445	5993	725
446	6004	711
447	6016	698
448	6028	684
449	6040	671
450	6052	657
451	6062	643
452	6073	630
453	6085	616
454	6099	603
455	6113	589
456	6130	576
457	6146	563
458	6163	550
459	6177	537
460	6189	523
461	6201	510
462	6212	496
463	6225	483
464	6237	469
465	6249	455
466	6261	442
467	6273	428
468	6285	415
469	6298	402
470	6314	388
471	6331	375
472	6346	362
473	6360	348
474	6374	335
475	6386	322
476	6398	308
477	6411	295
478	6424	281
479	6438	268
480	6452	254
481	6466	241
482	6481	228
483	6493	214
484	6506	201
485	6519	187
486	6533	174
487	6548	161
488	6562	147
489	6576	134
490	6589	120
491	6604	107
492	6615	93
493	6628	80
494	6641	67
495	6653	53
496	6666	40
497	6678	26
498	6691	13
499	6704	0
