iter	RMSE
0	0.2375606804
1	0.2154623042
2	0.1955024345
3	0.1775667171
4	0.1613326175
5	0.1466201134
6	0.1336473083
7	0.1219663599
8	0.1113181988
9	0.1017518306
10	0.0930947554
11	0.08551163331
12	0.0785332576
13	0.07224850059
14	0.06665534464
15	0.06156380351
16	0.05719387883
17	0.05317530578
18	0.04962883114
19	0.04642534887
20	0.04365022392
21	0.04119446046
22	0.03894931428
23	0.03708798949
24	0.03535304035
25	0.03374393678
26	0.03242445905
27	0.03120832611
28	0.0299572025
29	0.02895438256
30	0.02808340001
31	0.02728756605
32	0.02657314344
33	0.02598638413
34	0.02547187934
35	0.02496450426
36	0.02451571919
37	0.02409242956
38	0.0237290427
39	0.02322145752
40	0.02281797426
41	0.02229055815
42	0.02204192825
43	0.02180150153
44	0.0216101459
45	0.02121520831
46	0.02102293284
47	0.02083302629
48	0.0206462533
49	0.02049544343
50	0.02035476372
51	0.02016757661
52	0.01992015866
53	0.01971187455
54	0.01959921733
55	0.01930672143
56	0.01914012851
57	0.01902568376
58	0.01886199113
59	0.01853991911
60	0.01832474391
61	0.01822423704
62	0.01811517734
63	0.01804039994
64	0.01785525626
65	0.01774858746
66	0.01755030481
67	0.01739859905
68	0.01723215734
69	0.01700284816
70	0.0169314676
71	0.01671461678
72	0.01658565952
73	0.01648815808
74	0.01641390409
75	0.01623721261
76	0.01603164831
77	0.01590015362
78	0.01583632496
79	0.01567611952
80	0.01560388192
81	0.01550975119
82	0.0153603113
83	0.01526883002
84	0.01522326004
85	0.01516092335
86	0.01502237181
87	0.01490996139
88	0.01478190572
89	0.01461165855
90	0.01454444579
91	0.01448709964
92	0.01433024722
93	0.01429962652
94	0.01424178493
95	0.01418598869
96	0.01411376301
97	0.01398258816
98	0.01392903484
99	0.01381450226
100	0.01374625414
101	0.01369824879
102	0.01365338378
103	0.01361679966
104	0.01352679419
105	0.01349607829
106	0.01345878862
107	0.0134026884
108	0.01336183533
109	0.01331897867
110	0.01328384494
111	0.01322211033
112	0.01312811983
113	0.013060332
114	0.01302061871
115	0.01292677651
116	0.01288634961
117	0.01280029148
118	0.01271965876
119	0.01267943497
120	0.01252750324
121	0.01250448805
122	0.01248175907
123	0.01241114042
124	0.01236777202
125	0.01233048004
126	0.01222715118
127	0.01219678657
128	0.0121322368
129	0.01206550384
130	0.01200506439
131	0.01194881511
132	0.01189268642
133	0.01186177055
134	0.01181599174
135	0.01179264812
136	0.01176174047
137	0.01174242652
138	0.01171244687
139	0.01169690313
140	0.01166696668
141	0.0116534058
142	0.01160632011
143	0.01157259584
144	0.01154374219
145	0.01145323364
146	0.01141348583
147	0.01138085656
148	0.01135255842
149	0.0113137381
150	0.01129839038
151	0.01126790745
152	0.01124024952
153	0.01119505478
154	0.01115746007
155	0.01112540947
156	0.01109818359
157	0.01104883004
158	0.01099642107
159	0.01096812629
160	0.0109434412
161	0.01092459763
162	0.01091075048
163	0.01088802996
164	0.01086907517
